Scheme name	Locus tag	Description
cgMLST V1	b0885 (aat)	leucyl/phenylalanyl-tRNA-protein transferase
cgMLST V1	b3239 (yhcO)	putative barnase inhibitor
cgMLST V1	b3238 (yhcN)	"cadmium and peroxide resistance protein, stress-induced"
cgMLST V1	b3231 (rplM)	50S ribosomal subunit protein L13
cgMLST V1	b3230 (rpsI)	30S ribosomal subunit protein S9
cgMLST V1	b3233 (yhcB)	DUF1043 family inner membrane-anchored protein
cgMLST V1	b3232 (yhcM)	putative AFG1-like family P-loop ATPase
cgMLST V1	b3235 (degS)	"serine endoprotease, periplasmic "
cgMLST V1	b3234 (degQ)	"serine endoprotease, periplasmic "
cgMLST V1	b3237 (argR)	l-arginine-responsive arginine metabolism regulon transcriptional regulator
cgMLST V1	b3236 (mdh)	"malate dehydrogenase, NAD(P)-binding "
cgMLST V1	b2577 (yfiE)	putative DNA-binding transcriptional regulator
cgMLST V1	b2327 (yfcA)	UPF0721 family inner membrane protein
cgMLST V1	b3988 (rpoC)	"RNA polymerase, beta prime subunit "
cgMLST V1	b4359 (opgB)	phosphoglycerol transferases I and II
cgMLST V1	b4358 (yjjN)	L-galactonate oxidoreductase
cgMLST V1	b4352 (yjiA)	"GTP-binding protein, putative GTPase"
cgMLST V1	b4354 (yjiY)	putative transporter
cgMLST V1	b1651 (gloA)	"glyoxalase I, Ni-dependent "
cgMLST V1	b1650 (nemA)	"chromate reductase, quinone reductase, FMN-linked; N-Ethylmaleimide reductase; old yellow enzyme "
cgMLST V1	b1655 (mepH)	"murein DD-endopeptidase, space-maker hydrolase"
cgMLST V1	b1657 (ydhP)	putative transporter
cgMLST V1	b1659 (ydhB)	LysR family putative transcriptional regulator
cgMLST V1	b1658 (purR)	"transcriptional repressor, hypoxanthine-binding"
cgMLST V1	b1685 (ydiH)	uncharacterized protein
cgMLST V1	b2587 (kgtP)	alpha-ketoglutarate transporter
cgMLST V1	b3741 (mnmG)	5-methylaminomethyl-2-thiouridine modification at tRNA U34
cgMLST V1	b3743 (asnC)	transcriptional activator of asnA; autorepressor
cgMLST V1	b3742 (mioC)	FMN-binding protein MioC
cgMLST V1	b3745 (viaA)	stimulator of RavA ATPase activity; von Willebrand factor domain protein
cgMLST V1	b3744 (asnA)	asparagine synthetase A
cgMLST V1	b3747 (kup)	potassium transporter
cgMLST V1	b3746 (ravA)	"hexameric AAA+ MoxR family ATPase, putative molecular chaperone"
cgMLST V1	b3748 (rbsD)	putative cytoplasmic sugar-binding protein
cgMLST V1	b3393 (hofO)	DNA catabolic protein
cgMLST V1	b3391 (hofQ)	DNA catabolic putative fimbrial transporter
cgMLST V1	b1192 (ldcA)	murein tetrapeptide carboxypeptidase; LD-carboxypeptidase A
cgMLST V1	b1193 (emtA)	lytic murein endotransglycosylase E
cgMLST V1	b1190 (dadX)	"alanine racemase, catabolic, PLP-binding "
cgMLST V1	b1191 (cvrA)	putative cation/proton antiporter
cgMLST V1	b0823 (ybiW)	putative pyruvate formate lyase
cgMLST V1	b0822 (ybiV)	"sugar phosphatase; preference for fructose-1-P, ribose-5-P and glucose-6-P"
cgMLST V1	b0824 (ybiY)	putative pyruvate formate lyase activating enzyme
cgMLST V1	b0827 (moeA)	molybdopterin molybdenumtransferase; molybdopterin biosynthesis protein
cgMLST V1	b0826 (moeB)	molybdopterin synthase sulfurylase
cgMLST V1	b0829 (gsiA)	"glutathione transporter ATP-binding protein, ABC superfamily"
cgMLST V1	b0828 (iaaA)	Isoaspartyl peptidase
cgMLST V1	b1445 (ydcX)	DUF2566 family protein
cgMLST V1	b1446 (ydcY)	uncharacterized protein
cgMLST V1	b1633 (nth)	DNA glycosylase and apyrimidinic (AP) lyase (endonuclease III)
cgMLST V1	b1632 (rsxE)	SoxR iron-sulfur cluster reduction factor component; electron transport inner membrane NADH-quinone reductase
cgMLST V1	b1630 (rsxD)	SoxR iron-sulfur cluster reduction factor component; putative membrane protein of electron transport complex
cgMLST V1	b1636 (pdxY)	pyridoxamine kinase
cgMLST V1	b4678 (yoeI)	uncharacterized protein
cgMLST V1	b2311 (ubiX)	3-octaprenyl-4-hydroxybenzoate carboxy-lyase
cgMLST V1	b2313 (cvpA)	colicin V production membrane protein
cgMLST V1	b2312 (purF)	amidophosphoribosyltransferase
cgMLST V1	b2315 (folC)	bifunctional folylpolyglutamate synthase/dihydrofolate synthase
cgMLST V1	b2314 (dedD)	membrane-anchored periplasmic protein involved in septation
cgMLST V1	b2317 (dedA)	DedA family inner membrane protein
cgMLST V1	b2316 (accD)	"acetyl-CoA carboxylase, beta (carboxyltransferase) subunit "
cgMLST V1	b2319 (usg)	putative semialdehyde dehydrogenase
cgMLST V1	b2318 (truA)	tRNA pseudouridine(38-40) synthase
cgMLST V1	b3950 (frwB)	putative enzyme IIB component of PTS
cgMLST V1	b3951 (pflD)	putative glycine radical domain-containing pyruvate formate-lyase
cgMLST V1	b3952 (pflC)	putative [formate-C-acetyltransferase 2]-activating enzyme; pyruvate formate-lyase 1-activating enzyme
cgMLST V1	b3953 (frwD)	putative enzyme IIB component of PTS
cgMLST V1	b3954 (yijO)	AraC family putative transcriptional activator
cgMLST V1	b3955 (eptC)	LPS heptose I phosphoethanolamine transferase
cgMLST V1	b3956 (ppc)	phosphoenolpyruvate carboxylase
cgMLST V1	b3957 (argE)	acetylornithine deacetylase
cgMLST V1	b3958 (argC)	"N-acetyl-gamma-glutamylphosphate reductase, NAD(P)-binding "
cgMLST V1	b3959 (argB)	acetylglutamate kinase
cgMLST V1	b1839 (yebY)	DUF2511 family protein
cgMLST V1	b1831 (proQ)	"RNA chaperone, putative ProP translation regulator"
cgMLST V1	b1830 (prc)	carboxy-terminal protease for penicillin-binding protein 3
cgMLST V1	b1833 (yebS)	inner membrane protein
cgMLST V1	b1832 (msrC)	free methionine-(R)-sulfoxide reductase
cgMLST V1	b1835 (rsmF)	"16S rRNA m(5)C1407 methyltransferase, SAM-dependent"
cgMLST V1	b1834 (yebT)	MCE domain protein
cgMLST V1	b1837 (yebW)	uncharacterized protein
cgMLST V1	b2844 (yqeF)	short chain acyltransferase
cgMLST V1	b2841 (araE)	arabinose transporter
cgMLST V1	b2840 (ygeA)	Asp/Glu_racemase family protein
cgMLST V1	b2843 (kduI)	hexuronate isomerase; hexuronate utilization in high osmolarity
cgMLST V1	b2842 (kduD)	hexuronate dehydrogenase; hexuronate utilization in high osmolarity
cgMLST V1	b1765 (ydjA)	putative oxidoreductase
cgMLST V1	b1766 (sppA)	protease IV (signal peptide peptidase)
cgMLST V1	b1761 (gdhA)	"glutamate dehydrogenase, NADP-specific "
cgMLST V1	b1760 (ynjH)	DUF1496 family protein
cgMLST V1	b1768 (pncA)	nicotinamidase/pyrazinamidase
cgMLST V1	b4191 (ulaR)	transcriptional repressor for the L-ascorbate utilization (ula) divergent operon
cgMLST V1	b4190 (yjfP)	acyl CoA esterase
cgMLST V1	b4193 (ulaA)	L-ascorbate-specific enzyme IIC permease component of PTS
cgMLST V1	b4192 (ulaG)	L-ascorbate 6-phosphate lactonase
cgMLST V1	b4195 (ulaC)	L-ascorbate-specific enzyme IIA component of PTS
cgMLST V1	b4194 (ulaB)	L-ascorbate-specific enzyme IIB component of PTS
cgMLST V1	b4197 (ulaE)	L-xylulose 5-phosphate 3-epimerase
cgMLST V1	b4196 (ulaD)	3-keto-L-gulonate 6-phosphate decarboxylase
cgMLST V1	b4199 (yjfY)	"YhcN family protein, periplasmic"
cgMLST V1	b4198 (ulaF)	L-ribulose 5-phosphate 4-epimerase
cgMLST V1	b1683 (sufB)	component of SufBCD Fe-S cluster assembly scaffold
cgMLST V1	b3857 (mobA)	molybdopterin-guanine dinucleotide synthase
cgMLST V1	b3856 (mobB)	molybdopterin-guanine dinucleotide biosynthesis protein B
cgMLST V1	b3850 (hemG)	"protoporphyrin oxidase, flavoprotein "
cgMLST V1	b3859 (srkA)	stress response kinase A; MazF antagonist; Thr/Ser kinase involved in Cpx stress response
cgMLST V1	b3858 (yihD)	DUF1040 protein YihD
cgMLST V1	b2100 (yegV)	putative kinase
cgMLST V1	b2101 (yegW)	putative DNA-binding transcriptional regulator
cgMLST V1	b2103 (thiD)	bifunctional hydroxy-methylpyrimidine kinase/hydroxy-phosphomethylpyrimidine kinase
cgMLST V1	b2104 (thiM)	hydoxyethylthiazole kinase
cgMLST V1	b2105 (rcnR)	transcriptional repressor of rcnA
cgMLST V1	b2107 (rcnB)	periplasmic modulator of Ni and Co efflux
cgMLST V1	b1530 (marR)	transcriptional repressor of multiple antibiotic resistance
cgMLST V1	b1531 (marA)	multiple antibiotic resistance transcriptional regulator
cgMLST V1	b1532 (marB)	"mar operon regulator, periplasmic"
cgMLST V1	b0168 (map)	methionine aminopeptidase
cgMLST V1	b0161 (degP)	"serine endoprotease (protease Do), membrane-associated "
cgMLST V1	b0162 (cdaR)	carbohydrate diacid regulon transcriptional regulator; autoregulator
cgMLST V1	b0163 (yaeH)	UPF0325 family protein
cgMLST V1	b0166 (dapD)	"2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase "
cgMLST V1	b0167 (glnD)	uridylyltransferase
cgMLST V1	b1342 (ydaN)	putative Zn(II) transporter
cgMLST V1	b2478 (dapA)	dihydrodipicolinate synthase
cgMLST V1	b2479 (gcvR)	"transcriptional repressor, regulatory protein accessory to GcvA"
cgMLST V1	b2470 (acrD)	aminoglycoside/multidrug efflux system
cgMLST V1	b2471 (yffB)	putative ArsC family reductase
cgMLST V1	b2472 (dapE)	N-succinyl-diaminopimelate deacylase
cgMLST V1	b2473 (ypfH)	"palmitoyl-CoA esterase activity, uncertain physiological substrate"
cgMLST V1	b2474 (tmcA)	elongator methionine tRNA (ac4C34) acetyltransferase
cgMLST V1	b2475 (ypfJ)	putative neutral zinc metallopeptidase
cgMLST V1	b2476 (purC)	phosphoribosylaminoimidazole-succinocarboxamide synthetase
cgMLST V1	b2477 (bamC)	BamABCDE complex OM biogenesis lipoprotein
cgMLST V1	b0403 (malZ)	maltodextrin glucosidase
cgMLST V1	b0402 (proY)	proline-specific permease
cgMLST V1	b0401 (brnQ)	"branched-chain amino acid transport system 2 carrier protein; LIV-II transport system for Ile, Leu, and Val"
cgMLST V1	b0400 (phoR)	sensory histidine kinase in two-component regulatory system with PhoB
cgMLST V1	b0407 (yajC)	SecYEG protein translocase auxillary subunit
cgMLST V1	b0406 (tgt)	tRNA-guanine transglycosylase
cgMLST V1	b0405 (queA)	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
cgMLST V1	b0404 (acpH)	acyl carrier protein (ACP) phosphodiesterase; ACP hydrolyase
cgMLST V1	b0409 (secF)	SecYEG protein translocase auxillary subunit
cgMLST V1	b0408 (secD)	SecYEG protein translocase auxillary subunit
cgMLST V1	b0804 (ybiX)	Fe(II)-dependent oxygenase superfamily protein
cgMLST V1	b3461 (rpoH)	"RNA polymerase, sigma 32 (sigma H) factor"
cgMLST V1	b3462 (ftsX)	inner membrane putative ABC superfamily transporter permease
cgMLST V1	b3463 (ftsE)	putative ABC superfamily transporter ATP-binding subunit
cgMLST V1	b3464 (ftsY)	Signal Recognition Particle (SRP) receptor
cgMLST V1	b3465 (rsmD)	"16S rRNA m(2)G966 methyltransferase, SAM-dependent"
cgMLST V1	b3466 (yhhL)	DUF1145 family protein
cgMLST V1	b3467 (yhhM)	DUF2500 family protein
cgMLST V1	b3468 (yhhN)	TMEM86 family putative inner membrane protein
cgMLST V1	b3469 (zntA)	"zinc, cobalt and lead efflux system "
cgMLST V1	b2733 (mutS)	methyl-directed mismatch repair protein
cgMLST V1	b2730 (hypE)	"carbamoyl dehydratase, hydrogenases 1,2,3 maturation protein"
cgMLST V1	b1112 (bhsA)	"biofilm, cell surface and signaling protein"
cgMLST V1	b1113 (ldtC)	"L,D-transpeptidase linking Lpp to murein"
cgMLST V1	b1110 (ycfJ)	uncharacterized protein
cgMLST V1	b1111 (ycfQ)	repressor for bhsA(ycfR)
cgMLST V1	b1116 (lolC)	lipoprotein-releasing system transmembrane protein
cgMLST V1	b1117 (lolD)	outer membrane-specific lipoprotein transporter subunit
cgMLST V1	b1114 (mfd)	transcription-repair coupling factor
cgMLST V1	b1115 (ycfT)	inner membrane protein
cgMLST V1	b1118 (lolE)	lipoprotein-releasing system transmembrane protein
cgMLST V1	b1119 (nagK)	N-acetyl-D-glucosamine kinase
cgMLST V1	b4542 (yohO)	putative membrane protein
cgMLST V1	b4544 (arnE)	undecaprenyl phosphate-alpha-L-ara4N exporter; flippase ArnEF subunit
cgMLST V1	b0641 (lptE)	"LPS assembly OM complex LptDE, lipoprotein component"
cgMLST V1	b0640 (holA)	"DNA polymerase III, delta subunit "
cgMLST V1	b0643 (ybeL)	DUF1451 family protein
cgMLST V1	b0642 (leuS)	leucyl-tRNA synthetase
cgMLST V1	b0399 (phoB)	response regulator in two-component regulatory system with PhoR (or CreC)
cgMLST V1	b0398 (sbcD)	"exonuclease, dsDNA, ATP-dependent"
cgMLST V1	b0391 (yaiE)	UPF0345 family protein
cgMLST V1	b0397 (sbcC)	"exonuclease, dsDNA, ATP-dependent"
cgMLST V1	b0394 (mak)	manno(fructo)kinase
cgMLST V1	EFER_RS09440 (-)	hypothetical protein
cgMLST V1	b3663 (yicN)	DUF1198 family protein
cgMLST V1	b3666 (uhpT)	hexose phosphate transporter
cgMLST V1	b3667 (uhpC)	membrane protein regulates uhpT expression
cgMLST V1	b3668 (uhpB)	sensory histidine kinase in two-component regulatory sytem with UhpA
cgMLST V1	b3669 (uhpA)	response regulator in two-component regulatory system wtih UhpB
cgMLST V1	b2535 (csiE)	stationary phase inducible protein
cgMLST V1	b2534 (yfhR)	putative S9 family prolyl oligopeptidase
cgMLST V1	b2536 (hcaT)	putative 3-phenylpropionic transporter
cgMLST V1	b2531 (iscR)	isc operon transcriptional repressor; suf operon transcriptional activator; oxidative stress- and iron starvation-inducible; autorepressor
cgMLST V1	b2530 (iscS)	"cysteine desulfurase (tRNA sulfurtransferase), PLP-dependent "
cgMLST V1	b2533 (suhB)	inositol monophosphatase
cgMLST V1	b1255 (yciC)	UPF0259 family inner membrane protein
cgMLST V1	b1254 (yciB)	IspA family inner membrane protein
cgMLST V1	b1256 (ompW)	outer membrane protein W
cgMLST V1	b1251 (yciI)	putative DGPF domain-containing enzyme
cgMLST V1	b1250 (kch)	voltage-gated potassium channel
cgMLST V1	b1253 (yciA)	acyl-CoA esterase
cgMLST V1	b1252 (tonB)	membrane spanning protein in TonB-ExbB-ExbD transport complex
cgMLST V1	b4025 (pgi)	glucosephosphate isomerase
cgMLST V1	b4027 (yjbF)	extracellular polysaccharide production lipoprotein
cgMLST V1	b4020 (yjbB)	putative Na+/Pi-cotransporter
cgMLST V1	b4022 (rluF)	23S rRNA pseudouridine(2604) synthase
cgMLST V1	b3473 (yhhS)	putative arabinose efflux transporter
cgMLST V1	b3345 (tusD)	sulfurtransferase for 2-thiolation step of mnm(5)-s(2)U34-tRNA synthesis
cgMLST V1	b3344 (tusC)	mnm(5)-s(2)U34-tRNA synthesis 2-thiolation protein
cgMLST V1	b3347 (fkpA)	FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)
cgMLST V1	b3346 (yheO)	putative PAS domain-containing DNA-binding transcriptional regulator
cgMLST V1	b3340 (fusA)	"protein chain elongation factor EF-G, GTP-binding"
cgMLST V1	b3343 (tusB)	mnm(5)-s(2)U34-tRNA synthesis 2-thiolation protein
cgMLST V1	b3342 (rpsL)	30S ribosomal subunit protein S12
cgMLST V1	b3349 (slyD)	FKBP-type peptidyl prolyl cis-trans isomerase (rotamase)
cgMLST V1	b3348 (slyX)	phi X174 lysis protein
cgMLST V1	b1097 (yceG)	"septation protein, ampicillin sensitivity"
cgMLST V1	b1096 (pabC)	4-amino-4-deoxychorismate lyase component of para-aminobenzoate synthase multienzyme complex
cgMLST V1	b1095 (fabF)	3-oxoacyl-[acyl-carrier-protein] synthase II
cgMLST V1	b1094 (acpP)	acyl carrier protein (ACP)
cgMLST V1	b1093 (fabG)	3-oxoacyl-[acyl-carrier-protein] reductase
cgMLST V1	b1092 (fabD)	malonyl-CoA-[acyl-carrier-protein] transacylase
cgMLST V1	b1091 (fabH)	3-oxoacyl-[acyl-carrier-protein] synthase III
cgMLST V1	b1090 (plsX)	putative phosphate acyltransferase
cgMLST V1	b1098 (tmk)	thymidylate kinase
cgMLST V1	b0058 (rluA)	"dual specificity 23S rRNA pseudouridine(746), tRNA pseudouridine(32) synthase, SAM-dependent "
cgMLST V1	b0059 (rapA)	"RNA polymerase remodeling/recycling factor ATPase; RNA polymerase-associated, ATP-dependent RNA translocase "
cgMLST V1	b0054 (lptD)	"LPS assembly OM complex LptDE, beta-barrel component"
cgMLST V1	b0055 (djlA)	"membrane-anchored DnaK co-chaperone, DNA-binding protein"
cgMLST V1	b0050 (apaG)	protein associated with Co2+ and Mg2+ efflux
cgMLST V1	b0051 (rsmA)	"16S rRNA m(6)A1518, m(6)A1519 dimethyltransferase, SAM-dependent "
cgMLST V1	b0052 (pdxA)	"4-hydroxy-L-threonine phosphate dehydrogenase, NAD-dependent "
cgMLST V1	b0053 (surA)	peptidyl-prolyl cis-trans isomerase (PPIase)
cgMLST V1	b1757 (ynjE)	molybdopterin synthase sulfurtransferase
cgMLST V1	b2188 (yejM)	essential inner membrane DUF3413 domain-containing protein; lipid A production and membrane permeability factor
cgMLST V1	b2180 (yejF)	"microcin C transporter, ATP-binding subunit; ABC family"
cgMLST V1	b2181 (yejG)	uncharacterized protein
cgMLST V1	b2182 (bcr)	bicyclomycin/cysteine/sulfonamide efflux transporter
cgMLST V1	b2183 (rsuA)	16S rRNA pseudouridine(516) synthase
cgMLST V1	b2184 (yejH)	putative ATP-dependent DNA or RNA helicase
cgMLST V1	b2185 (rplY)	50S ribosomal subunit protein L25
cgMLST V1	b2186 (yejK)	spermidine nucleoid-associated protein
cgMLST V1	b2187 (yejL)	UPF0352 family protein
cgMLST V1	b0932 (pepN)	aminopeptidase N
cgMLST V1	b0930 (asnS)	asparaginyl tRNA synthetase
cgMLST V1	b0936 (ssuA)	"aliphatic sulfonate binding protein, SsuABC ABC transporter"
cgMLST V1	b0935 (ssuD)	"alkanesulfonate monooxygenase, FMNH(2)-dependent "
cgMLST V1	b3892 (fdoI)	"formate dehydrogenase-O, cytochrome b556 subunit"
cgMLST V1	b2966 (yqgA)	DUF554 family putative inner membrane protein
cgMLST V1	b2964 (nupG)	nucleoside transporter
cgMLST V1	b2962 (yggX)	protein that protects iron-sulfur proteins against oxidative damage
cgMLST V1	b2963 (mltC)	membrane-bound lytic murein transglycosylase C
cgMLST V1	b2960 (trmI)	"tRNA m(7)G46 methyltransferase, SAM-dependent "
cgMLST V1	b2961 (mutY)	adenine DNA glycosylase
cgMLST V1	b1686 (menI)	"1,4-dihydroxy-2-naphthoyl-CoA hydrolase "
cgMLST V1	b1687 (ydiJ)	putative FAD-linked oxidoreductase
cgMLST V1	b1684 (sufA)	Fe-S cluster assembly protein
cgMLST V1	b1682 (sufC)	"SufBCD Fe-S cluster assembly scaffold protein, ATP-binding protein"
cgMLST V1	b1680 (sufS)	"cysteine desulfurase, stimulated by SufE; selenocysteine lyase, PLP-dependent "
cgMLST V1	b1681 (sufD)	component of SufBCD Fe-S cluster assembly scaffold
cgMLST V1	b1688 (ydiK)	UPF0118 family inner membrane protein
cgMLST V1	b1538 (dcp)	dipeptidyl carboxypeptidase II
cgMLST V1	b1539 (ydfG)	NADP-dependent 3-hydroxy acid dehydrogenase; malonic semialdehyde reductase
cgMLST V1	b0489 (qmcA)	PHB domain membrane-anchored putative protease
cgMLST V1	b0482 (ybaP)	TraB family protein
cgMLST V1	b0481 (ybaK)	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase
cgMLST V1	b0487 (cueR)	copper-responsive regulon transcriptional regulator
cgMLST V1	b0486 (ybaT)	putative amino acid transporter
cgMLST V1	b0485 (glsA)	glutaminase 1
cgMLST V1	b0484 (copA)	copper transporter
cgMLST V1	b4476 (gntU)	"gluconate transporter, low affinity GNT 1 system"
cgMLST V1	b4472 (yhdP)	DUF3971-AsmA2 domains protein
cgMLST V1	b4473 (smf)	DNA recombination-mediator A family protein
cgMLST V1	b4470 (yhaM)	putative L-serine dehydratase alpha chain
cgMLST V1	b3172 (argG)	argininosuccinate synthetase
cgMLST V1	b3170 (rimP)	ribosome maturation factor for 30S subunits
cgMLST V1	b3176 (glmM)	phosphoglucosamine mutase
cgMLST V1	b3177 (folP)	"7,8-dihydropteroate synthase "
cgMLST V1	b3175 (secG)	preprotein translocase membrane subunit
cgMLST V1	b3178 (ftsH)	"protease, ATP-dependent zinc-metallo "
cgMLST V1	b3179 (rlmE)	"23S rRNA U2552 2'-O-ribose methyltransferase, SAM-dependent "
cgMLST V1	b3794 (wecG)	UDP-N-acetyl-D-mannosaminuronic acid transferase
cgMLST V1	b3795 (yifK)	putative APC family amino acid transporter
cgMLST V1	b3792 (wzxE)	O-antigen translocase
cgMLST V1	b3793 (wzyE)	putative ECA polysaccharide chain elongation protein
cgMLST V1	b3790 (wecD)	TDP-fucosamine acetyltransferase
cgMLST V1	b3791 (wecE)	TDP-4-oxo-6-deoxy-D-glucose transaminase
cgMLST V1	b2225 (yfaP)	"DUF2135 family protein, putative host defense protein"
cgMLST V1	b1100 (ycfH)	putative DNase
cgMLST V1	b2078 (baeS)	sensory histidine kinase in two-component regulatory system with BaeR
cgMLST V1	b2079 (baeR)	response regulator in two-component regulatory system with BaeS
cgMLST V1	b2075 (mdtB)	"multidrug efflux system, subunit B"
cgMLST V1	b2077 (mdtD)	putative arabinose efflux transporter
cgMLST V1	b0651 (rihA)	ribonucleoside hydrolase 1
cgMLST V1	b2243 (glpC)	"anaerobic sn-glycerol-3-phosphate dehydrogenase, C subunit, 4Fe-4S iron-sulfur cluster"
cgMLST V1	b1013 (rutR)	rut operon transcriptional repressor for
cgMLST V1	b4226 (ppa)	inorganic pyrophosphatase
cgMLST V1	b0762 (acrZ)	"AcrAB-TolC efflux pump accessory protein, membrane-associated"
cgMLST V1	b4222 (ytfP)	GGCT-like protein
cgMLST V1	b4221 (tamB)	"translocation and assembly module for autotransporter export, inner membrane subunit"
cgMLST V1	b0761 (modE)	transcriptional repressor for the molybdenum transport operon modABC
cgMLST V1	b3509 (hdeB)	acid-resistance protein
cgMLST V1	b3507 (dctR)	LuxR family putative transcriptional regulator
cgMLST V1	b3506 (slp)	outer membrane lipoprotein
cgMLST V1	b3503 (arsC)	arsenate reductase
cgMLST V1	b3500 (gor)	glutathione oxidoreductase
cgMLST V1	b2678 (proW)	glycine betaine transporter subunit
cgMLST V1	b2679 (proX)	glycine betaine transporter subunit
cgMLST V1	b2676 (nrdF)	"ribonucleoside-diphosphate reductase 2, beta subunit, ferritin-like protein "
cgMLST V1	b2677 (proV)	glycine betaine transporter subunit
cgMLST V1	b2675 (nrdE)	"ribonucleoside-diphosphate reductase 2, alpha subunit "
cgMLST V1	b2673 (nrdH)	hydrogen donor for NrdEF electron transport system; glutaredoxin-like protein
cgMLST V1	b2670 (alaE)	"alanine exporter, alanine-inducible, stress-responsive"
cgMLST V1	b2671 (ygaC)	uncharacterized protein
cgMLST V1	b4146 (epmB)	"EF-P-Lys34 lysylation protein; weak lysine 2,3-aminomutase"
cgMLST V1	b4147 (efp)	polyproline-specific translation elongation factor EF-P
cgMLST V1	b4144 (yjeI)	DUF4156 family lipoprotein
cgMLST V1	b4142 (groS)	"Cpn10 chaperonin GroES, small subunit of GroESL"
cgMLST V1	b4143 (groL)	"Cpn60 chaperonin GroEL, large subunit of GroESL"
cgMLST V1	b4140 (fxsA)	suppressor of F exclusion of phage T7
cgMLST V1	b4141 (yjeH)	putative transporter
cgMLST V1	b4148 (sugE)	multidrug efflux system protein
cgMLST V1	b4149 (blc)	"outer membrane lipoprotein (lipocalin), cell division and growth function"
cgMLST V1	b3262 (yhdJ)	"DNA adenine methyltransferase, SAM-dependent"
cgMLST V1	b3260 (dusB)	tRNA-dihydrouridine synthase B
cgMLST V1	b3261 (fis)	global DNA-binding transcriptional dual regulator
cgMLST V1	b1608 (rstA)	"response regulator of RstAB two-component system, low Mg-responsive via PhoQP"
cgMLST V1	b1609 (rstB)	"sensory histidine kinase of RstAB two-component system, low Mg-responsive via PhoQP"
cgMLST V1	b1607 (ydgC)	GlpM family inner membrane protein
cgMLST V1	b1605 (ydgI)	putative arginine/ornithine antiporter transporter
cgMLST V1	b4381 (deoC)	"2-deoxyribose-5-phosphate aldolase, NAD(P)-linked "
cgMLST V1	b4382 (deoA)	thymidine phosphorylase
cgMLST V1	b4383 (deoB)	phosphopentomutase
cgMLST V1	b4384 (deoD)	purine-nucleoside phosphorylase
cgMLST V1	b4386 (lplA)	lipoate-protein ligase A
cgMLST V1	b4387 (ytjB)	SMP_2 family putative membrane-anchored periplasmic protein
cgMLST V1	b4388 (serB)	3-phosphoserine phosphatase
cgMLST V1	b4389 (radA)	DNA repair protein
cgMLST V1	b3712 (yieE)	phosphopantetheinyl transferase superfamily protein
cgMLST V1	b3713 (chrR)	"chromate reductase, Class I, flavoprotein"
cgMLST V1	b3710 (mdtL)	multidrug efflux system protein
cgMLST V1	b2923 (argO)	arginine transporter
cgMLST V1	b0878 (macA)	"macrolide transporter subunit, membrane fusion protein (MFP) component"
cgMLST V1	b0879 (macB)	fused macrolide transporter subunits of ABC superfamily: ATP-binding component/membrane component
cgMLST V1	b0876 (ybjD)	putative OLD family ATP-dependent endonuclease; DUF2813 family protein
cgMLST V1	b0877 (ybjX)	DUF535 family protein
cgMLST V1	b0874 (ybjE)	putative transporter
cgMLST V1	b0872 (hcr)	"HCP oxidoreductase, NADH-dependent "
cgMLST V1	b0873 (hcp)	hybrid-cluster [4Fe-2S-2O] protein in anaerobic terminal reductases
cgMLST V1	b0870 (ltaE)	"L-allo-threonine aldolase, PLP-dependent "
cgMLST V1	b0871 (poxB)	"pyruvate dehydrogenase (pyruvate oxidase), thiamine triphosphate-binding, FAD-binding "
cgMLST V1	b1479 (maeA)	"malate dehydrogenase, (decarboxylating, NAD-requiring) (malic enzyme) "
cgMLST V1	b1476 (fdnI)	"formate dehydrogenase-N, cytochrome B556 (gamma) subunit, nitrate-inducible"
cgMLST V1	b4485 (ytfR)	putative ABC superfamily sugar transporter ATP-binding subunit
cgMLST V1	b0102 (zapD)	FtsZ stabilizer
cgMLST V1	b4480 (hdfR)	flhDC operon transcriptional repressor
cgMLST V1	b3039 (ygiD)	"4,5-DOPA-extradiol-dioxygenase"
cgMLST V1	b3038 (ygiC)	ATP-Grasp family ATPase
cgMLST V1	b3037 (ygiB)	DUF1190 family protein
cgMLST V1	b3035 (tolC)	transport channel
cgMLST V1	b3033 (yqiB)	DUF1249 protein YqiB
cgMLST V1	b3032 (cpdA)	"3',5' cAMP phosphodiesterase "
cgMLST V1	b3031 (yqiA)	acyl CoA esterase
cgMLST V1	b3697 (yidA)	sugar phosphate phosphatase; substrates include erythrose 4-P and mannose 1-P phosphatase
cgMLST V1	b3699 (gyrB)	"DNA gyrase, subunit B "
cgMLST V1	b3698 (yidB)	DUF937 family protein
cgMLST V1	b2346 (mlaA)	"ABC transporter maintaining OM lipid asymmetry, OM lipoprotein component"
cgMLST V1	b2347 (yfdC)	putative inner membrane protein
cgMLST V1	b2344 (fadL)	long-chain fatty acid outer membrane transporter
cgMLST V1	b2342 (fadI)	"beta-ketoacyl-CoA thiolase, anaerobic, subunit "
cgMLST V1	b2343 (yfcZ)	UPF0381 family protein
cgMLST V1	b2340 (sixA)	phosphohistidine phosphatase
cgMLST V1	b2341 (fadJ)	fused enoyl-CoA hydratase and epimerase and isomerase/3-hydroxyacyl-CoA dehydrogenase
